year,sales
2010,1200.0
2011,17800.0
2012,54000.0
2013,97000.0
2014,118000.0
2015,114000.0
2016,160000.0
2017,194000.0
2018,360000.0
2019,325000.0
2020,294000.0
2021,630000.0
2022,990000.0
2023,1390000.0
