충전소이름,이용가능시간,자세한 위치,주차비,등록일자
하남라인아파트,24시간,지하2층 주차장 계단옆,입주민 전용,2017.8.12 0:00
광교레이크파크수자,24시간,지하 2층 주차장,0,2017.8.12 0:00
광교호수마을 참누리레이크,24시간,지하2층 주차장,0,2017.8.12 0:00
살구골동아서광성지진덕아파트,24시간,717~718동 사이 B1F,없음,2017.8.12 0:00
퀸덤1차 아인슈타인타운,24시간,지하주차장,무료,2018.12.14 11:21
월배1차아이파크,24시간,지하주차장(113동 옆),0,2017.8.12 0:00
양구경림 아파트,24시간,아파트 입구 경비실 옆 주차장,없음,2017.8.25 0:00
영어도시퀸덤1차,부가정보없음,지하2층주차장,부가정보없음,2017.8.12 0:00
논산대림 아파트,24시간,지하주차장,부가정보없음,2017.8.25 0:00
도램마을18단지,부가정보없음,지하,부가정보없음,2017.8.25 0:00
현진에버빌3차 아파트,24시간  ※외부인 개방,지상주차장(302-304동 사이),회원카드만 결제가능,2017.8.12 0:00
상주우방타운1차,24시간  ※외부인 개방,지상주차장(103-106동 사이),0,2017.8.12 0:00
현대 아파트,24시간  ※외부인 개방,지하주차장(좌측),0,2017.8.12 0:00
가아KT-e편한세상,24시간  ※외부인 개방,지하2층 주차장 전기실 인근,무료,2017.8.12 0:00
센텀동부센트레빌,24시간,전기실(지하) 인접 주차장,무료,2017.8.12 0:00
창원경상대학교병원,주중/주말 : 24시간,장례식장 앞 주차장,주차비 없음,2017.1.16 0:00
송도웰카운티4단지아파트,24시간,지하2층 403동 Y03맞은편,부가정보없음,2017.11.29 16:53
엄궁대림 아파트,24시간  ※외부인 개방,103동 지하 1층,무료,2017.8.12 0:00
율리벽산블루밍,24시간,103동 지하 1층,무료,2017.8.12 0:00
학장삼성2차 아파트,24시간  ※외부인 개방,관리사무소 앞 지하주차장,무료,2017.8.12 0:00
거제동일동미라주리버 아파트,24시간,지하1층 103동 출입구옆,무료,2017.8.12 0:00
명륜쌍용예가,24시간,지하주차장,무료,2017.8.12 0:00
문수데시앙2단지,24시간,201동 B1 A-01,무료,2017.8.12 0:00
에일린의뜰3차,24시간,307동 C-02,무료,2017.8.12 0:00
동아2차 아파트,24시간  ※외부인 개방,지하주차장(323동5~6라인),무료,2017.8.12 0:00
롯데캐슬알바트로스,24시간,"B2F D2,17기둥",0,2017.7.9 0:00
목포지사,24시간,(실외완전노출)우측 주차장,충전시 무료,2016.10.27 0:00
상도래미안1차 아파트,24시간,102동 지하2층 우측 (변전실에서 30m),관리사무소,2017.7.4 0:00
이지더원1차에듀파크,24시간,지하주차장,무료,2017.8.25 0:00
괴정신익타운 아파트,24시간  ※외부인 개방,신익타운 4동 앞 지상주차장,무료,2017.8.25 0:00
대권한빛아파트,24시간,관리사무소 옆,0,2017.8.25 0:00
신성네스트빌,24시간,"101동,102동 사이",0,2017.8.25 0:00
광려천벽산블루밍 아파트,24시간  ※외부인 개방,110동앞 지하1층주차장 06기둥,무료,2017.8.25 0:00
하대현대 아파트,24시간  ※외부인 개방,관리사무실 뒤 지상주차장,무료,2017.8.25 0:00
연동뜨레모아 아파트,24시간,주차장,부가정보없음,2017.8.25 0:00
