year,sales
2010,141263800.0
2011,156571200.0
2012,177313000.0
2013,190488000.0
2014,202179945.0
2015,214170900.0
2016,214393900.0
2017,210565700.0
2018,212176300.0
2019,209538000.0
2020,178272800.0
2021,184272900.0
2022,169753300.0
2023,190993000.0
