NUM OF LOT PER PRODUCT,ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
10,0.5,5.0,5.0,486,0.1,10,41.733333333333334,0
10,0.5,5.0,5.0,486,0.2,9,31.866666666666667,0
10,0.5,5.0,5.0,486,0.30000000000000004,9,27.866666666666667,0
10,0.5,5.0,5.0,486,0.4,7,20.3,0
10,0.5,5.0,5.0,486,0.5,5,9.466666666666667,0
10,0.5,5.0,5.0,486,0.6,1,0.6666666666666666,2
10,0.5,5.0,5.0,486,0.7000000000000001,1,6.233333333333333,3
10,0.5,5.0,5.0,486,0.8,1,3.5,4
10,0.5,5.0,5.0,486,0.9,1,1.5,5
10,0.5,5.0,5.0,487,0.1,3,25.333333333333332,0
10,0.5,5.0,5.0,487,0.2,3,19.333333333333332,0
10,0.5,5.0,5.0,487,0.30000000000000004,3,9.333333333333334,0
10,0.5,5.0,5.0,487,0.4,3,7.333333333333333,0
10,0.5,5.0,5.0,487,0.5,3,1.3333333333333333,1
10,0.5,5.0,5.0,487,0.6,0,0.0,1
10,0.5,5.0,5.0,487,0.7000000000000001,0,0.0,2
10,0.5,5.0,5.0,487,0.8,0,0.0,2
10,0.5,5.0,5.0,487,0.9,0,0.0,3
10,0.5,5.0,5.0,488,0.1,7,12.866666666666667,0
10,0.5,5.0,5.0,488,0.2,6,8.0,0
10,0.5,5.0,5.0,488,0.30000000000000004,6,8.0,1
10,0.5,5.0,5.0,488,0.4,5,7.933333333333334,1
10,0.5,5.0,5.0,488,0.5,5,5.933333333333334,2
10,0.5,5.0,5.0,488,0.6,5,3.933333333333333,2
10,0.5,5.0,5.0,488,0.7000000000000001,5,3.933333333333333,2
10,0.5,5.0,5.0,488,0.8,2,2.2666666666666666,2
10,0.5,5.0,5.0,488,0.9,1,0.5666666666666667,3
10,0.5,5.0,5.0,489,0.1,0,0.0,0
10,0.5,5.0,5.0,489,0.2,0,0.0,1
10,0.5,5.0,5.0,489,0.30000000000000004,0,0.0,2
10,0.5,5.0,5.0,489,0.4,0,0.0,2
10,0.5,5.0,5.0,489,0.5,0,0.0,3
10,0.5,5.0,5.0,489,0.6,0,0.0,3
10,0.5,5.0,5.0,489,0.7000000000000001,0,0.0,4
10,0.5,5.0,5.0,489,0.8,0,0.0,5
10,0.5,5.0,5.0,489,0.9,0,0.0,5
10,0.5,5.0,5.0,490,0.1,4,24.933333333333334,4
10,0.5,5.0,5.0,490,0.2,3,18.733333333333334,4
10,0.5,5.0,5.0,490,0.30000000000000004,2,15.133333333333333,5
10,0.5,5.0,5.0,490,0.4,2,15.966666666666667,6
10,0.5,5.0,5.0,490,0.5,1,12.333333333333334,7
10,0.5,5.0,5.0,490,0.6,1,12.333333333333334,8
10,0.5,5.0,5.0,490,0.7000000000000001,1,10.333333333333334,9
10,0.5,5.0,5.0,490,0.8,2,16.166666666666668,10
10,0.5,5.0,5.0,490,0.9,2,16.166666666666668,10
10,0.5,5.0,5.0,491,0.1,10,76.2,0
10,0.5,5.0,5.0,491,0.2,9,57.7,0
10,0.5,5.0,5.0,491,0.30000000000000004,9,49.7,0
10,0.5,5.0,5.0,491,0.4,9,39.7,0
10,0.5,5.0,5.0,491,0.5,7,26.966666666666665,2
10,0.5,5.0,5.0,491,0.6,5,11.1,2
10,0.5,5.0,5.0,491,0.7000000000000001,5,7.033333333333333,3
10,0.5,5.0,5.0,491,0.8,5,6.9,5
10,0.5,5.0,5.0,491,0.9,4,7.533333333333333,6
10,0.5,5.0,5.0,492,0.1,8,48.93333333333333,0
10,0.5,5.0,5.0,492,0.2,8,46.93333333333333,0
10,0.5,5.0,5.0,492,0.30000000000000004,7,36.53333333333333,0
10,0.5,5.0,5.0,492,0.4,6,30.1,0
10,0.5,5.0,5.0,492,0.5,6,20.1,0
10,0.5,5.0,5.0,492,0.6,4,11.333333333333334,1
10,0.5,5.0,5.0,492,0.7000000000000001,2,1.4666666666666666,1
10,0.5,5.0,5.0,492,0.8,1,0.3333333333333333,2
10,0.5,5.0,5.0,492,0.9,1,1.9,3
10,0.5,5.0,5.0,493,0.1,5,33.43333333333333,2
10,0.5,5.0,5.0,493,0.2,5,29.433333333333334,2
10,0.5,5.0,5.0,493,0.30000000000000004,4,12.266666666666667,4
10,0.5,5.0,5.0,493,0.4,1,6.033333333333333,5
10,0.5,5.0,5.0,493,0.5,1,2.033333333333333,7
10,0.5,5.0,5.0,493,0.6,1,0.03333333333333333,8
10,0.5,5.0,5.0,493,0.7000000000000001,0,0.0,8
10,0.5,5.0,5.0,493,0.8,0,0.0,9
10,0.5,5.0,5.0,493,0.9,0,0.0,10
10,0.5,5.0,5.0,494,0.1,6,55.833333333333336,0
10,0.5,5.0,5.0,494,0.2,6,53.833333333333336,0
10,0.5,5.0,5.0,494,0.30000000000000004,6,35.833333333333336,1
10,0.5,5.0,5.0,494,0.4,5,22.333333333333332,2
10,0.5,5.0,5.0,494,0.5,6,7.633333333333334,3
10,0.5,5.0,5.0,494,0.6,4,6.233333333333333,4
10,0.5,5.0,5.0,494,0.7000000000000001,2,6.333333333333333,4
10,0.5,5.0,5.0,494,0.8,2,6.333333333333333,4
10,0.5,5.0,5.0,494,0.9,1,6.3,4
10,0.5,5.0,5.0,495,0.1,2,6.766666666666667,0
10,0.5,5.0,5.0,495,0.2,1,2.1666666666666665,0
10,0.5,5.0,5.0,495,0.30000000000000004,1,0.16666666666666666,1
10,0.5,5.0,5.0,495,0.4,0,0.0,2
10,0.5,5.0,5.0,495,0.5,0,0.0,3
10,0.5,5.0,5.0,495,0.6,1,1.7,5
10,0.5,5.0,5.0,495,0.7000000000000001,0,0.0,6
10,0.5,5.0,5.0,495,0.8,0,0.0,8
10,0.5,5.0,5.0,495,0.9,0,0.0,8
15,0.5,7.5,7.5,486,0.1,9,27.155555555555555,9
15,0.5,7.5,7.5,486,0.2,9,27.155555555555555,9
15,0.5,7.5,7.5,486,0.30000000000000004,10,22.733333333333334,10
15,0.5,7.5,7.5,486,0.4,9,14.733333333333333,11
15,0.5,7.5,7.5,486,0.5,9,17.466666666666665,11
15,0.5,7.5,7.5,486,0.6,9,17.0,11
15,0.5,7.5,7.5,486,0.7000000000000001,8,19.88888888888889,11
15,0.5,7.5,7.5,486,0.8,9,26.11111111111111,11
15,0.5,7.5,7.5,486,0.9,9,30.91111111111111,12
15,0.5,7.5,7.5,487,0.1,7,64.26666666666667,0
15,0.5,7.5,7.5,487,0.2,7,54.93333333333333,0
15,0.5,7.5,7.5,487,0.30000000000000004,7,40.266666666666666,0
15,0.5,7.5,7.5,487,0.4,7,25.6,0
15,0.5,7.5,7.5,487,0.5,6,18.11111111111111,1
15,0.5,7.5,7.5,487,0.6,3,10.88888888888889,3
15,0.5,7.5,7.5,487,0.7000000000000001,2,4.333333333333333,3
15,0.5,7.5,7.5,487,0.8,1,0.8222222222222222,5
15,0.5,7.5,7.5,487,0.9,0,0.0,6
15,0.5,7.5,7.5,488,0.1,11,139.46666666666667,0
15,0.5,7.5,7.5,488,0.2,11,136.8,0
15,0.5,7.5,7.5,488,0.30000000000000004,10,113.53333333333333,2
15,0.5,7.5,7.5,488,0.4,12,99.35555555555555,4
15,0.5,7.5,7.5,488,0.5,10,86.42222222222222,5
15,0.5,7.5,7.5,488,0.6,9,64.64444444444445,6
15,0.5,7.5,7.5,488,0.7000000000000001,9,58.044444444444444,8
15,0.5,7.5,7.5,488,0.8,10,30.666666666666668,9
15,0.5,7.5,7.5,488,0.9,12,21.355555555555554,10
15,0.5,7.5,7.5,489,0.1,4,3.7111111111111112,0
15,0.5,7.5,7.5,489,0.2,3,1.5333333333333334,0
15,0.5,7.5,7.5,489,0.30000000000000004,0,0.0,0
15,0.5,7.5,7.5,489,0.4,0,0.0,0
15,0.5,7.5,7.5,489,0.5,0,0.0,0
15,0.5,7.5,7.5,489,0.6,0,0.0,0
15,0.5,7.5,7.5,489,0.7000000000000001,0,0.0,3
15,0.5,7.5,7.5,489,0.8,0,0.0,3
15,0.5,7.5,7.5,489,0.9,0,0.0,5
15,0.5,7.5,7.5,490,0.1,9,47.266666666666666,2
15,0.5,7.5,7.5,490,0.2,9,32.6,2
15,0.5,7.5,7.5,490,0.30000000000000004,8,17.266666666666666,3
15,0.5,7.5,7.5,490,0.4,4,3.8666666666666667,5
15,0.5,7.5,7.5,490,0.5,1,0.2,6
15,0.5,7.5,7.5,490,0.6,0,0.0,9
15,0.5,7.5,7.5,490,0.7000000000000001,0,0.0,10
15,0.5,7.5,7.5,490,0.8,1,5.6,11
15,0.5,7.5,7.5,490,0.9,2,13.777777777777779,12
15,0.5,7.5,7.5,491,0.1,7,33.2,0
15,0.5,7.5,7.5,491,0.2,6,30.488888888888887,0
15,0.5,7.5,7.5,491,0.30000000000000004,5,23.6,2
15,0.5,7.5,7.5,491,0.4,5,15.6,2
15,0.5,7.5,7.5,491,0.5,5,16.755555555555556,3
15,0.5,7.5,7.5,491,0.6,4,23.2,5
15,0.5,7.5,7.5,491,0.7000000000000001,2,24.933333333333334,5
15,0.5,7.5,7.5,491,0.8,2,28.266666666666666,5
15,0.5,7.5,7.5,491,0.9,3,37.06666666666667,6
15,0.5,7.5,7.5,492,0.1,8,24.91111111111111,0
15,0.5,7.5,7.5,492,0.2,7,20.68888888888889,0
15,0.5,7.5,7.5,492,0.30000000000000004,7,16.68888888888889,1
15,0.5,7.5,7.5,492,0.4,7,7.866666666666666,3
15,0.5,7.5,7.5,492,0.5,4,7.622222222222222,5
15,0.5,7.5,7.5,492,0.6,1,0.022222222222222223,7
15,0.5,7.5,7.5,492,0.7000000000000001,1,0.7777777777777778,9
15,0.5,7.5,7.5,492,0.8,2,4.222222222222222,10
15,0.5,7.5,7.5,492,0.9,3,11.244444444444444,11
15,0.5,7.5,7.5,493,0.1,10,26.644444444444446,1
15,0.5,7.5,7.5,493,0.2,8,12.622222222222222,3
15,0.5,7.5,7.5,493,0.30000000000000004,1,3.5555555555555554,7
15,0.5,7.5,7.5,493,0.4,1,3.5555555555555554,9
15,0.5,7.5,7.5,493,0.5,1,2.2222222222222223,11
15,0.5,7.5,7.5,493,0.6,0,0.0,12
15,0.5,7.5,7.5,493,0.7000000000000001,0,0.0,13
15,0.5,7.5,7.5,493,0.8,0,0.0,14
15,0.5,7.5,7.5,493,0.9,1,0.7111111111111111,15
15,0.5,7.5,7.5,494,0.1,9,44.0,0
15,0.5,7.5,7.5,494,0.2,9,34.666666666666664,0
15,0.5,7.5,7.5,494,0.30000000000000004,8,25.733333333333334,0
15,0.5,7.5,7.5,494,0.4,6,12.266666666666667,3
15,0.5,7.5,7.5,494,0.5,4,5.466666666666667,3
15,0.5,7.5,7.5,494,0.6,2,3.8,6
15,0.5,7.5,7.5,494,0.7000000000000001,2,2.466666666666667,6
15,0.5,7.5,7.5,494,0.8,2,2.2222222222222223,9
15,0.5,7.5,7.5,494,0.9,1,2.022222222222222,9
15,0.5,7.5,7.5,495,0.1,0,0.0,0
15,0.5,7.5,7.5,495,0.2,0,0.0,0
15,0.5,7.5,7.5,495,0.30000000000000004,0,0.0,0
15,0.5,7.5,7.5,495,0.4,1,0.7111111111111111,1
15,0.5,7.5,7.5,495,0.5,0,0.0,4
15,0.5,7.5,7.5,495,0.6,0,0.0,4
15,0.5,7.5,7.5,495,0.7000000000000001,0,0.0,6
15,0.5,7.5,7.5,495,0.8,0,0.0,7
15,0.5,7.5,7.5,495,0.9,0,0.0,9
20,0.5,10.0,10.0,486,0.1,12,95.48333333333333,0
20,0.5,10.0,10.0,486,0.2,13,84.13333333333334,1
20,0.5,10.0,10.0,486,0.30000000000000004,13,66.13333333333334,1
20,0.5,10.0,10.0,486,0.4,14,48.416666666666664,4
20,0.5,10.0,10.0,486,0.5,11,30.666666666666668,7
20,0.5,10.0,10.0,486,0.6,9,24.433333333333334,11
20,0.5,10.0,10.0,486,0.7000000000000001,9,24.516666666666666,11
20,0.5,10.0,10.0,486,0.8,10,16.633333333333333,14
20,0.5,10.0,10.0,486,0.9,6,18.633333333333333,16
20,0.5,10.0,10.0,487,0.1,12,34.8,0
20,0.5,10.0,10.0,487,0.2,11,20.55,0
20,0.5,10.0,10.0,487,0.30000000000000004,5,14.45,2
20,0.5,10.0,10.0,487,0.4,6,11.433333333333334,3
20,0.5,10.0,10.0,487,0.5,9,8.816666666666666,6
20,0.5,10.0,10.0,487,0.6,9,10.5,7
20,0.5,10.0,10.0,487,0.7000000000000001,3,2.683333333333333,11
20,0.5,10.0,10.0,487,0.8,1,1.25,14
20,0.5,10.0,10.0,487,0.9,1,1.25,17
20,0.5,10.0,10.0,488,0.1,18,150.13333333333333,0
20,0.5,10.0,10.0,488,0.2,18,131.13333333333333,0
20,0.5,10.0,10.0,488,0.30000000000000004,18,112.13333333333334,0
20,0.5,10.0,10.0,488,0.4,16,94.01666666666667,0
20,0.5,10.0,10.0,488,0.5,15,76.4,0
