NUM OF LOT PER PRODUCT,ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
5,0.5,0.5,0.5,486,0.1,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.2,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.30000000000000004,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.4,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.5,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.6,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.7000000000000001,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.8,10,145.33333333333334,5
5,0.5,0.5,0.5,486,0.9,10,145.33333333333334,5
5,0.5,0.5,0.5,487,0.1,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.2,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.30000000000000004,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.4,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.5,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.6,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.7000000000000001,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.8,10,153.33333333333334,5
5,0.5,0.5,0.5,487,0.9,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.1,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.2,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.30000000000000004,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.4,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.5,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.6,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.7000000000000001,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.8,10,153.33333333333334,5
5,0.5,0.5,0.5,488,0.9,10,153.33333333333334,5
5,0.5,0.5,0.5,489,0.1,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.2,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.30000000000000004,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.4,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.5,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.6,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.7000000000000001,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.8,10,145.33333333333334,5
5,0.5,0.5,0.5,489,0.9,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.1,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.2,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.30000000000000004,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.4,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.5,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.6,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.7000000000000001,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.8,10,145.33333333333334,5
5,0.5,0.5,0.5,490,0.9,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.1,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.2,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.30000000000000004,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.4,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.5,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.6,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.7000000000000001,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.8,10,145.33333333333334,5
5,0.5,0.5,0.5,491,0.9,10,145.33333333333334,5
5,0.5,0.5,0.5,492,0.1,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.2,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.30000000000000004,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.4,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.5,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.6,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.7000000000000001,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.8,10,153.33333333333334,5
5,0.5,0.5,0.5,492,0.9,10,153.33333333333334,5
5,0.5,0.5,0.5,493,0.1,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.2,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.30000000000000004,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.4,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.5,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.6,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.7000000000000001,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.8,10,145.33333333333334,5
5,0.5,0.5,0.5,493,0.9,10,145.33333333333334,5
5,0.5,0.5,0.5,494,0.1,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.2,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.30000000000000004,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.4,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.5,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.6,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.7000000000000001,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.8,10,153.33333333333334,5
5,0.5,0.5,0.5,494,0.9,10,153.33333333333334,5
