,removed,observed,censored,entrance,at_risk,cumulative_survival_probability,ci_lower,ci_upper
0.0,0,0,0,35,35,1.0,1.0,1.0
1.0,16,16,0,0,35,0.5428571428571428,0.36609926062551384,0.6897622627185357
2.0,4,4,0,0,19,0.42857142857142866,0.2642636843590839,0.583064751703687
3.0,6,6,0,0,15,0.25714285714285723,0.12797742406627605,0.40772062524145847
4.0,3,3,0,0,9,0.17142857142857146,0.06957390021058396,0.31132713811148854
5.0,2,2,0,0,6,0.11428571428571427,0.036209571187342304,0.2422521144766298
6.0,1,1,0,0,4,0.08571428571428572,0.02201116963868714,0.2056543998023004
11.0,1,1,0,0,3,0.057142857142857134,0.010251939159757858,0.16719809145489636
12.0,1,1,0,0,2,0.028571428571428564,0.002195356172185153,0.12682272072472445
21.0,1,1,0,0,1,0.0,0.0,0.0
