,removed,observed,censored,entrance,at_risk,cumulative_survival_probability,ci_lower,ci_upper
0.0,0,0,0,192,192,1.0,1.0,1.0
1.0,71,71,0,0,192,0.6302083333333335,0.5577605284054545,0.6941074614027004
2.0,8,8,0,0,121,0.5885416666666669,0.5155049425142367,0.6543566643856102
3.0,14,14,0,0,113,0.515625,0.4427767151527917,0.5836008611607363
4.0,7,7,0,0,99,0.47916666666666674,0.406978161336727,0.5476730454550407
5.0,8,8,0,0,92,0.4374999999999999,0.3665276135217811,0.5061658884866597
6.0,5,5,0,0,84,0.41145833333333337,0.34150109625204794,0.4799782463313167
7.0,2,2,0,0,79,0.4010416666666668,0.3315467204233445,0.46944919341650393
8.0,6,6,0,0,77,0.3697916666666667,0.3018818782514478,0.43767213554717954
9.0,1,1,0,0,71,0.3645833333333335,0.29696733459011176,0.4323476670174329
10.0,7,5,2,0,70,0.3385416666666666,0.27252616004395636,0.40559989565636406
11.0,3,3,0,0,63,0.3224206349206348,0.25743882729715467,0.38900794330529154
12.0,3,3,0,0,60,0.30629960317460314,0.2424487959439322,0.3723255530433559
13.0,7,6,1,0,57,0.27405753968253965,0.21277635214694912,0.33867485525235297
14.0,1,1,0,0,50,0.26857638888888885,0.20775863228750197,0.33293265563125135
16.0,3,3,0,0,49,0.2521329365079365,0.1927881592806308,0.3156301336908762
17.0,3,1,2,0,46,0.24665178571428567,0.18782641526354488,0.3098365284974802
18.0,4,0,4,0,43,0.24665178571428567,0.18782641526354488,0.3098365284974802
19.0,1,0,1,0,39,0.24665178571428567,0.18782641526354488,0.3098365284974802
20.0,3,0,3,0,38,0.24665178571428567,0.18782641526354488,0.3098365284974802
21.0,4,2,2,0,35,0.23255739795918365,0.17454280407591016,0.2955765689756031
22.0,3,3,0,0,31,0.2100518433179723,0.15342925008157487,0.27282555644210627
23.0,1,1,0,0,28,0.2025499917709019,0.14650477763923112,0.26514698219446076
24.0,2,1,1,0,27,0.19504814022383146,0.1396383798119103,0.25741956409060085
25.0,3,2,1,0,25,0.179444289005925,0.1254273830576024,0.24134317485089862
26.0,1,1,0,0,22,0.17128773041474654,0.11803683225383901,0.23294632755842043
27.0,1,1,0,0,21,0.1631311718235681,0.11073513757641984,0.22447508449023287
28.0,2,2,0,0,20,0.14681805464121128,0.0964083796555436,0.20730009697595497
29.0,1,1,0,0,18,0.13866149605003292,0.0893896782515147,0.19859054712216712
30.0,1,1,0,0,17,0.1305049374588545,0.08247272622076443,0.1897948481077454
31.0,3,1,2,0,16,0.12234837886767609,0.07566245978787602,0.1809085922803202
32.0,1,0,1,0,13,0.12234837886767609,0.07566245978787602,0.1809085922803202
36.0,3,1,2,0,12,0.1121526806287031,0.06678713799339239,0.1705327894571125
37.0,1,0,1,0,9,0.1121526806287031,0.06678713799339239,0.1705327894571125
40.0,3,0,3,0,8,0.1121526806287031,0.06678713799339239,0.1705327894571125
44.0,1,0,1,0,5,0.1121526806287031,0.06678713799339239,0.1705327894571125
55.0,1,0,1,0,4,0.1121526806287031,0.06678713799339239,0.1705327894571125
57.0,1,0,1,0,3,0.1121526806287031,0.06678713799339239,0.1705327894571125
60.0,1,0,1,0,2,0.1121526806287031,0.06678713799339239,0.1705327894571125
74.0,1,0,1,0,1,0.1121526806287031,0.06678713799339239,0.1705327894571125
